Hour,Pimp (kW),Pexp (kW),SoC,Batch Workload Zone 1,Batch Workload Zone 2,Active Servers,Heat Recovered (kWth),Pch (kW),Pdis (kW),TRCU (C),QRCU (m3/s),PS1 (W),PS2 (W)
0,0.4783625730994153,0.0,0.8,-0.0,-0.0,0.66334991708126,3515.589256,0.011695906432748648,0.0,25.0,0.05,500.0,500.0
1,1.5171292579505302,0.0,0.792,175.0,175.0,1.1666666666666667,1144.0424028268553,0.0,0.0,0.0,0.1,650.5833333333334,303.9166666666667
2,1.3264011829042577,0.0,0.78408,260.0,0.0,0.8666666666666667,1095.3524734982336,0.0,0.0,0.0,0.1,260.43333333333334,593.7666666666667
3,1.26382878680801,0.0,0.7762392,0.0,250.0,0.8333333333333334,981.4074204947001,0.0,0.0,0.0,0.1,597.0833333333334,250.41666666666666
4,1.2916707437321224,0.0,0.768476808,260.0,0.0,0.8666666666666667,973.7959363957604,0.0,0.0,0.0,0.1,727.1,260.43333333333334
5,1.810793668770336,0.0,0.9,350.0,0.0,1.1666666666666667,1132.879740871614,0.20352040947368427,0.0,0.0,0.1,350.5833333333333,350.5833333333333
6,1.2340100000000003,0.0,0.891,0.0,0.0,2.0,0.0,0.0,0.0,6.696144815771945,0.1,601.0,601.0
7,1.096377297979798,0.0,0.5050505050505051,0.0,0.0,2.6666666666666665,0.0,0.0,0.4712993686868687,11.41950731906681,0.1,801.3333333333334,801.3333333333334
8,1.8414921933333335,0.0,0.5,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,15.197671987250526,0.1,1001.6666666666666,1001.6666666666666
9,1.6758717919371346,0.0,0.5,0.0,0.0,3.6666666666666665,0.0,0.007309941520467844,0.0,18.975052909302306,0.1,1101.8333333333333,1101.8333333333333
10,1.4198063148538014,0.0,0.5,0.0,0.0,3.8333333333333335,0.0,0.007309941520467844,0.0,20.865309123717886,0.1,1151.9166666666667,1151.9166666666667
11,1.307983446520468,0.0,0.5,0.0,0.0,4.0,0.0,0.007309941520467844,0.0,21.810438529228648,0.1,1202.0,1202.0
12,1.729742097770468,0.0,0.5,0.0,0.0,4.0,0.0,0.007309941520467844,0.0,22.754784247501515,0.1,1202.0,2028.6666666666667
13,2.4729920977704674,0.0,0.5,0.0,620.0,3.8333333333333335,0.0,0.007309941520467844,0.0,30.542701502134133,0.1,1270.5,2500.0
14,3.2034875611038016,0.0,0.5,88.9375,1011.0625,3.6666666666666665,0.0,0.007309941520467844,0.0,35.63434618581154,0.1,1101.8333333333333,2435.1666666666665
15,3.8750739823959903,0.0,0.9,0.0,1000.0,3.3333333333333335,464.44444400000003,0.5921052631578948,0.0,29.587901902298253,0.1,1535.0,1001.6666666666666
16,2.2678433333333334,0.0,0.891,400.0,0.0,3.0,0.0,0.0,0.0,24.010942664685068,0.1,1501.5,901.5
17,2.167676666666667,0.0,0.88209,450.0,0.0,2.6666666666666665,0.0,0.0,0.0,22.7471889573748,0.1,958.0,801.3333333333334
18,1.090923625,0.0,0.5,117.5,0.0,2.3333333333333335,0.0,0.0,0.46658637500000005,16.682852290788702,0.1,701.1666666666666,1701.1666666666667
19,2.2915699415204687,0.0,0.5,0.0,750.0,2.5,0.0,0.007309941520467844,0.0,22.734832650249814,0.1,651.25,1484.5833333333333
20,1.9496949415204676,0.0,0.5,0.0,625.0,2.0833333333333335,0.0,0.007309941520467844,0.0,20.229442083770447,0.1,1209.375,542.7083333333334
21,1.607819941520468,0.0,0.5,500.0,0.0,1.6666666666666667,0.0,0.007309941520467844,0.0,16.612470183758397,0.1,434.1666666666667,1017.5
22,2.3620975896851695,0.0,0.8080808080808082,0.0,437.5,1.4583333333333333,1661.8161351220278,0.4577204796503044,0.0,0.0,0.1,913.2291666666667,379.89583333333337
23,1.32701,0.0,0.8,400.0,0.0,1.3333333333333333,0.0,0.0,0.0,12.272345208586046,0.1,0.0,0.0
